ID,League,Player,Age,Team,Position,Height,Weight,Hometown,Latitude,Longitude
1,xtech,TRX Systems,n/a,https://www.trxsystems.com/,Dismount GPS-Denied and NAVWAR Threat Detection, Navigation,"Greenbelt, Md","Akron, OH",39.0046, -76.875528
2,xtech,Anti-Rotational Technologies,n/a,https://www.salus-works.com/,SALUS Stabilizing Aerial Loads Utility System,Aeromedical Evacuation,"Atlanta, Georgia",xTech3,33.749,-84.38
3,xtech,Cayuga Biotech,n/a,https://www.cayugabiotech.com/,NanostasisTMIV Therapy to Treat Battlefield Hemorrhage,Medical Technologies,"Bridgewater, New Jersey",xTech3,40.594,-74.6049
4,xtech,ElectroNucleics,n/a,https://electronucleics.com/,Point-of-Care Pathogen Detection in Minutes,Medical Technologies,"Placentia, CA",xTech3,33.871,-117.862
5,xtech,GhostWave Inc,n/a,https://ghostwaveinc.com/,Counter UAS Clandestine Perimeter Monitoring with RF Noise Radar,Air and Missile Defense,"Columbus, Ohio",xTech3,39.9612,-82.9988
6,xtech,Knight Technical Solutions,n/a,http://www.kts-hsv.com/,Fixed Displacement Turbine FDT,Power and Energy,"Madison, Alabama",xTech3,34.6993,-86.7483
7,xtech,LiquidPiston Inc,n/a,https://www.liquidpiston.com/,High Efficiency Auxiliary Power LEAP Unit,Power and Energy,"Bloomfield, Connecticut",xTech3,41.8265,-72.7301
8,xtech,Merciless Motors,n/a,https://mercilessmotors.com/,New and Improved Electric Motor Technology,Power and Energy,"New York, New York",xTech3,40.7,-74.00
9,xtech,Syncopated Engineering,n/a,https://www.syncopatedengr.com/,Mocking Bird RF Decoy,Electronic Warfare,"Ellicott City, Maryland",xTech3,39.2673,-76.7983
10,xtech,Tex Power,n/a,n/a,Next Generation Lithium Ion Batteries for Portable Military Applications,Power and Energy,"Austin, Texas",xTech3,30.2672,-97.7431
11,xtech,XOnano Smartfoam,n/a,https://xonanosmartfoam.com/,The Next Step in Injury Prevention: Field-Capable GRF Measurement Systems,Medical Technologies,"Orem, Utah",xTech3,40.2969,-111.6946
12,xtech,GeneCapture Inc,5.5,https://www.genecapture.com/,portable rapid infection detection system for use in austere environments,Medical Technologies,"Huntsville, Alabama",xTech4,34.7304,-86.5861
13,xtech,KeriCure Inc,8,https://www.kericuremedical.com/,improving healing and preventing infections at every level of skin and wound care,Medical Technologies,"Wesley Chapel, Florida",xTech4,27.1983,-82.3305
14,xtech,Vita Inclinata,8,https://vitatech.co/,Next Generation Autonomous Hoist Rescue Stabilization Systems,Aeromedical Evacuation,"Denver, Colorado",xTech4,39.7392,-104.9903
15,xtech,Bounce Imaging,"base product TRL is 9, thermal is 4 ",https://www.bounceimaging.com/,360-degree throwable tactical cameras for use by military police and first responders of all kinds ,Situational Awareness,"Boston, Massachusetts",xTech4,42.3601,-71.0589
